PoinType=9@90
X 27.644753$Y 0.000000$Z -171.447204$A -87.250461$B 0.606654$C 26.821582$U -56.762552$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -89.052035$B 0.606654$C 26.215617$U -56.514866$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -90.965335$B 0.606654$C 25.600298$U -56.365598$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -92.981093$B 0.606654$C 24.984887$U -56.329650$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -95.084303$B 0.606654$C 24.381547$U -56.422782$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -97.252411$B 0.606654$C 23.805886$U -56.660938$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -99.456208$B 0.606654$C 23.276531$U -57.059392$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -101.656546$B 0.606654$C 22.815416$U -57.630802$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -103.809375$B 0.606654$C 22.445672$U -58.384319$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -105.862931$B 0.606654$C 22.190804$U -59.322597$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -107.761830$B 0.606654$C 22.071824$U -60.439919$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -109.450494$B 0.606654$C 22.104428$U -61.720597$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -110.876402$B 0.606654$C 22.296235$U -63.137499$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -111.994905$B 0.606654$C 22.644637$U -64.652617$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -112.773354$B 0.606654$C 23.136239$U -66.219429$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -113.193680$B 0.606654$C 23.747983$U -67.786244$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -113.253746$B 0.606654$C 24.450083$U -69.301200$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -112.966530$B 0.606654$C 25.209891$U -70.717069$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -112.357616$B 0.606654$C 25.995756$U -71.995160$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -111.461663$B 0.606654$C 26.780009$U -73.107660$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -110.318595$B 0.606654$C 27.540627$U -74.038208$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -108.969631$B 0.606654$C 28.261939$U -74.781337$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -107.454110$B 0.606654$C 28.934156$U -75.340499$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -105.808802$B 0.606654$C 29.551824$U -75.725357$V 0.000000$W 0.000000$
